Date,Forecast
2019-12-01,437.6519172801528
2020-01-01,451.48222278172307
2020-02-01,425.1209595419326
2020-03-01,467.18799888876083
2020-04-01,495.1897843920722
2020-05-01,512.6769047866577
2020-06-01,576.2294312522804
2020-07-01,666.2936394457927
2020-08-01,658.3243944357573
2020-09-01,552.7393884026267
2020-10-01,499.85920252950956
2020-11-01,432.77451945026843
2020-12-01,477.5415523552476
2021-01-01,496.1601012611841
2021-02-01,466.90891757482433
2021-03-01,506.4506648837609
2021-04-01,542.3210518284567
2021-05-01,559.8360711542504
2021-06-01,627.3994935767221
2021-07-01,723.1518586008693
2021-08-01,711.6061463974297
2021-09-01,600.2938260282787
2021-10-01,546.4667050696937
2021-11-01,473.38841542619593
2021-12-01,519.672144306332
2022-01-01,540.1911923276108
2022-02-01,508.890557405061
2022-03-01,551.4033313811066
2022-04-01,587.8936550207214
2022-05-01,607.5750887117148
2022-06-01,677.9998561386419
2022-07-01,778.5651926048929
2022-08-01,767.2900299592459
2022-09-01,649.6418240714884
2022-10-01,593.2355176164431
2022-11-01,517.4510934772622
2022-12-01,565.6637688978183
2023-01-01,587.1659909365152
2023-02-01,553.5399578944223
2023-03-01,597.200651324866
2023-04-01,636.7101294022417
2023-05-01,657.8474968450367
2023-06-01,731.510969485607
2023-07-01,837.173590868274
